,DisProt-Full-ID (IDC>95%),DisProt-Full-ID (IDC>95%),DisProt-Full-ID (IDC>95%),DisProt-Full-ID (IDC>95%),DisProt-Full-ID (IDC>95%),DisProt-Full-ID (IDC>95%),DisProt-Full-ID (IDC>95%)
,tn,fp,fn,tp,mcc,f1s,tnr
fIDPnn,527,16,15,26,0.598,0.627,0.971
*RawMSA,524,19,15,26,0.574,0.605,0.965
*Predisorder,531,12,22,19,0.503,0.528,0.978
fIDPln,508,35,14,27,0.493,0.524,0.936
VSL2B,520,23,18,23,0.492,0.529,0.958
IUPred-long,537,6,26,15,0.487,0.484,0.989
SPOT-Disorder-Single,536,7,26,15,0.474,0.476,0.987
MobiDB-lite,541,2,30,11,0.458,0.407,0.996
IUPred-short,542,1,31,10,0.455,0.385,0.998
*AUCpreD,530,13,24,17,0.452,0.479,0.976
ESpritz-N,539,4,29,12,0.447,0.421,0.993
DisoMine,493,50,13,28,0.444,0.471,0.908
IUPred2A-long,537,6,28,13,0.441,0.433,0.989
*SPOT-Disorder1,514,29,19,22,0.437,0.478,0.947
IUPred2A-short,541,2,31,10,0.433,0.377,0.996
PyHCA,538,5,29,12,0.431,0.414,0.991
IsUnstruct,530,13,25,16,0.431,0.457,0.976
*SPOT-Disorder2,516,27,20,21,0.43,0.472,0.95
Naive Gene3D,462,81,8,33,0.423,0.426,0.851
JRONN,537,6,29,12,0.416,0.407,0.989
ESpritz-D,497,46,19,22,0.36,0.404,0.915
*DisPredict-2,528,15,28,13,0.346,0.377,0.972
ESpritz-X,537,6,32,9,0.337,0.321,0.989
Naive PDB,428,115,10,31,0.321,0.332,0.788
AUCpreD-np,532,11,31,10,0.307,0.323,0.98
*S2D-2,514,29,26,15,0.302,0.353,0.947
DisEMBL-HL,543,0,37,4,0.302,0.178,1.0
FoldUnfold,398,145,10,31,0.272,0.286,0.733
*DISOPRED-3.1,538,5,35,6,0.258,0.231,0.991
*S2D-1,491,52,25,16,0.235,0.294,0.904
DisEMBL-465,543,0,39,2,0.213,0.093,1.0
DynaMine,543,0,41,0,0.0,0.0,1.0
GlobPlot,543,0,41,0,0.0,0.0,1.0
DFLpred,543,0,41,0,0.0,0.0,1.0
Naive Conservation,407,136,35,6,-0.062,0.066,0.75
